time,open,high,low,close,Correlation
2025-10-23,7.1252,7.1252,7.1216,7.1216,0.1799965137527527
2025-10-24,7.1216,7.1252,7.1206,7.1206,0.16553916979908148
2025-10-27,7.1206,7.1206,7.1037,7.1097,0.10070260164402137
2025-10-28,7.1097,7.1097,7.0984,7.0984,0.06361214333770675
2025-10-29,7.097,7.1018,7.097,7.0975,0.04406985064721619
2025-10-30,7.0986,7.1136,7.0961,7.1092,0.005867236767505377
2025-10-31,7.1092,7.1177,7.1085,7.1164,-0.011776595558220804
2025-11-03,7.1164,7.1229,7.1138,7.1196,-0.02963594451259495
2025-11-04,7.1196,7.1295,7.1196,7.129,-0.000196878735428601
2025-11-05,7.129,7.1325,7.1244,7.1255,0.005216820072177261
2025-11-06,7.1255,7.1255,7.1175,7.1182,0.006468969134737665
2025-11-07,7.1182,7.1231,7.1182,7.1214,0.043465809298558616
2025-11-10,7.1214,7.1214,7.1174,7.1188,0.06969471614636262
2025-11-11,7.1193,7.123,7.1163,7.1163,0.08789463291669032
2025-11-12,7.1163,7.1195,7.112,7.112,0.08345367003658417
2025-11-13,7.1115,7.113,7.0944,7.0946,0.10603103820812487
2025-11-14,7.0956,7.1008,7.0913,7.0987,0.1278265111812575
2025-11-17,7.0987,7.1075,7.0987,7.1069,0.10086023561249974
2025-11-18,7.1069,7.1148,7.1058,7.1075,0.09389162641283147
2025-11-19,7.1069,7.1125,7.1069,7.1101,0.09343735129432165
2025-11-20,7.1101,7.1176,7.1094,7.1155,0.08339298855843036
2025-11-21,7.1155,7.1155,7.1061,7.1061,0.08286244412547136
2025-11-24,7.1061,7.1087,7.1015,7.1015,0.24182683932388607
2025-11-25,7.1015,7.1015,7.084,7.084,0.33630128671046633
2025-11-26,7.084,7.0872,7.0753,7.0753,0.39755978054654745
2025-11-27,7.0753,7.083,7.0753,7.0785,0.4912270423919315
2025-11-28,7.0808,7.0828,7.0745,7.0745,0.556576223335387
2025-12-01,7.0745,7.0751,7.0712,7.0712,0.5902848738533654
